ROOT	<OOV>	5	6.178876001357412	3.0894380006787063
Subject	<OOV>	6	-0.10033945446507882	1.364286236041757
Object/reflexive	Derivation	3	0.5379234820123863	0.13536842716407743
ROOT	Derivation	13	6.415960056749787	0.9574417988033588
Subject	Derivation	9	0.06499834313916558	0.2705546123975973
Tense/aspect	Derivation	2	0.588135151061981	0.588135151061981
Mood	Int/Rel	144	3.633038804087106	0.9128612287176352
Negation	Int/Rel	2	0.0	0.0
Object/reflexive	Int/Rel	25	-0.005481694913093924	0.5433107046992764
ROOT	Int/Rel	146	0.7051544793935917	1.1977962779179216
Subject	Int/Rel	143	0.17930779619123316	0.6159601465590475
Tense/aspect	Int/Rel	28	0.8022549594016002	1.4130693034952697
Valence	Int/Rel	27	0.2607337295458268	0.9349953318344965
Voice	Int/Rel	6	0.21703019906638263	0.1386891265424466
<OOV>	Mood	6	2.3049541813918495	1.1964635095213083
Derivation	Mood	13	3.024843351328983	1.411731946379539
Infinitive	Mood	44	0.5173320570241384	0.8935289506718749
Negation	Mood	21	0.394546753384737	1.0756424834469165
Object/reflexive	Mood	489	0.040929598794513335	0.5931501842861449
ROOT	Mood	1839	2.2886249735349473	1.5950997774668765
Subject	Mood	1586	0.035507106764442076	0.5120103373121309
Tense/aspect	Mood	724	0.7528372529345984	1.2576709995625879
Valence	Mood	201	2.5720903077468984	1.124528386958816
Voice	Mood	53	3.051115083409066	0.07317027507549226
Subject	Negation	14	2.4693324099595726	1.4250987185864978
Infinitive	Object/reflexive	15	2.451276194843929	0.9109495605265825
Negation	Object/reflexive	9	2.7442177106744903	1.390427023698311
Subject	Object/reflexive	421	1.353164114737955	1.1903022745925205
Tense/aspect	Object/reflexive	217	3.208020207107829	1.046160078009859
Infinitive	ROOT	44	1.4113266054379543	2.1010833780022455
Negation	ROOT	21	1.4769180054432312	2.1577856550899615
Object/reflexive	ROOT	500	3.474799808173035	2.169046393795858
Subject	ROOT	1614	1.2860049225053862	1.9812829360422775
Tense/aspect	ROOT	601	2.0196934549836496	2.0896323256838976
Infinitive	Subject	3	0.6699636854165202	0.2847194114306317
Subject	Subject	11	0.0	0.0
Infinitive	Tense/aspect	2	2.2142103893091725	0.07527262536136706
Object/reflexive	Tense/aspect	60	0.045164417538335486	0.6477972437367265
ROOT	Tense/aspect	150	3.4265498923740583	2.047055377178604
Subject	Tense/aspect	737	2.5930231477819277	1.2380744478540748
Tense/aspect	Tense/aspect	3	-0.5299346313385586	0.3747203714050878
Valence	Tense/aspect	11	2.51251396530927	1.5622297562492822
Voice	Tense/aspect	7	5.3817126426406094	0.17431180501858579
Infinitive	Valence	12	0.026316770470536304	1.0318553145346612
Negation	Valence	6	-0.11552453009332424	0.25832070235739313
Object/reflexive	Valence	100	0.5625652199717431	1.0501502645902754
ROOT	Valence	204	3.568623360159764	2.5544375173053857
Subject	Valence	153	-0.05322889465374943	0.6132546366827659
Tense/aspect	Valence	60	0.02401389071385085	0.44864460545473583
Valence	Valence	13	3.2724977356993565	1.7685463225274534
Object/reflexive	Voice	5	1.3182462682912353	0.6695274113318783
ROOT	Voice	60	2.8643592139047245	2.36249800603519
Subject	Voice	58	0.8777246321725106	1.1852895055255064
Tense/aspect	Voice	22	1.1277875717266819	1.6376532608244698
Valence	Voice	4	3.0042359694476604	0.7391943419107851
