Based off https://en.wiktionary.org/wiki/duyurmak

This file describes conjugation of causative verbs using the example of "duy-ur-"

The following MORPHEME SLOTS show up:
- CAUSATIVE -ur-
- After that, the same slots as for basic verbs (turkish-olmak.tsv.csv)

POSITIVE DECLARATIVE
direct 	nonpast aorist 	duyururum 	duyurursun 	duyurur 	duyururuz 	duyurursunuz 	duyururlar
		imperfective 	duyuruyorum 	duyuruyorsun 	duyuruyor 	duyuruyoruz 	duyuruyorsunuz 	duyuruyorlar
		prospective 	duyuracağım 	duyuracaksın 	duyuracak 	duyuracağız 	duyuracaksınız 	duyuracaklar
	past 	perfective 	duyurdum 	duyurdun 	duyurdu 	duyurduk 	duyurdunuz 	duyurdular
		imperfective 	duyuruyordum 	duyuruyordun 	duyuruyordu 	duyuruyorduk 	duyuruyordunuz 	duyuruyorlardı
indirect	perfective 	duyurmuşum 	duyurmuşsun 	duyurmuş 	duyurmuşuz 	duyurmuşsunuz 	duyurmuşlar
		aorist 	duyururmuşum 	duyururmuşsun 	duyururmuş 	duyururmuşuz 	duyururmuşsunuz 	duyururlarmuş
		imperfective 	duyuruyormuşum 	duyuruyormuşsun 	duyuruyormuş 	duyuruyormuşuz 	duyuruyormuşsunuz 	duyuruyorlarmuş
