Derivation	Case	876	2.057660994176518	1.2739682210322771
Number	Case	1164	3.0054820102954376	0.2931912734713196
ROOT	Case	4523	1.0162743504089122	1.8655043589775187
ROOT	Derivation	1282	4.310910865772063	3.0391017128078506
Derivation	Number	296	3.0910699651555666	0.4740902600057723
ROOT	Number	1546	1.5059020901573108	1.7485689440013301
Case	Possessor	204	3.1251533756092886	0.7248043788511089
Derivation	Possessor	24	-1.1456805767802116	2.1801238459282795
Number	Possessor	68	0.2755545211300139	1.0830613874056585
ROOT	Possessor	252	-0.11666916748877222	1.3287166788627436
ROOT	ROOT	11	0.0	0.0
