Script	Run	Model	Accuracy_Pairs	Accuracy_Full	Accuracy_Pairs_Types	Accuracy_Full_Types
forWords_Turkish_EvaluateWeights_Coarse.py	2533628	6160208	0.6466930469191634	0.43388429752066116	0.6105536975102193	0.31090821720326767
forWords_Turkish_EvaluateWeights_Coarse_FineSurprisal.py	9621554	5248474	0.8720352564102564	0.8320901994796184	0.8410054512416717	0.7566571077427284
forWords_Turkish_EvaluateWeights_Fine.py	7777973	5517669	0.875606072649233	0.8263660017346054	0.8574698795180723	0.7722834645669291
forWords_Turkish_EvaluateWeights_Nouns_Coarse.py	2331015	3246590	0.5603568441594647	0.5781870711448176	0.47780020181634714	0.4695290858725762
forWords_Turkish_EvaluateWeights_Nouns_Coarse_FineSurprisal.py	8533358	2156423	1.0	1.0	1.0	1.0
forWords_Turkish_EvaluateWeights_Nouns_Fine.py	3060973	6049787	0.9581823250627265	0.9458288190682557	0.9500359453630481	0.9327202323330106
