Script	Run	Model	Distance	Surprisal	MI	Memory	UnigramCE	Type
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	1057549-RANDOM	RANDOM	0	5.7036593177494606	2.1397051901062993	0	5.7036593177494606	RANDOM
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	1057549-RANDOM	RANDOM	1	3.563954127643161	0.000983181391794652	2.1397051901062993	5.7036593177494606	RANDOM
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	1057549-RANDOM	RANDOM	2	3.5629709462513666	0.0	2.1416715528898886	5.7036593177494606	RANDOM
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	1057549-RANDOM	RANDOM	3	3.5629709462513666	0.0	2.1416715528898886	5.7036593177494606	RANDOM
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	1057549-RANDOM	RANDOM	4	3.5629709462513666	0.0	2.1416715528898886	5.7036593177494606	RANDOM
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	1057549-RANDOM	RANDOM	5	3.5629709462513666	0.0	2.1416715528898886	5.7036593177494606	RANDOM
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	1057549-RANDOM	RANDOM	6	3.5629709462513666	0.0	2.1416715528898886	5.7036593177494606	RANDOM
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	1057549-RANDOM	RANDOM	7	3.5629709462513666	0.0	2.1416715528898886	5.7036593177494606	RANDOM
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	1057549-RANDOM	RANDOM	8	3.5629709462513666	0.0	2.1416715528898886	5.7036593177494606	RANDOM
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	1057549-RANDOM	RANDOM	9	3.5629709462513666	0.0	2.1416715528898886	5.7036593177494606	RANDOM
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	1057549-RANDOM	RANDOM	10	3.5629709462513666	0.0	2.1416715528898886	5.7036593177494606	RANDOM
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	1057549-RANDOM	RANDOM	11	3.5629709462513666	0	2.1416715528898886	5.7036593177494606	RANDOM
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	1091077-RANDOM	RANDOM	0	5.7036593177494606	2.142168715394624	0	5.7036593177494606	RANDOM
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	1091077-RANDOM	RANDOM	1	3.5614906023548367	0.0	2.142168715394624	5.7036593177494606	RANDOM
